項次,出入口名稱,出入口編號,經度,緯度,是否為無障礙用
1,頂埔站出口1,1,121.4185726,24.9592829,是
2,頂埔站出口2,2,121.419,24.95931,否
3,頂埔站出口3,3,121.4195208,24.9597693,是
4,頂埔站出口4,4,121.4201,24.96039,是
5,松山機場站出口1,1,121.5520427,25.0636308,是
6,松山機場站出口2,2,121.5509869,25.0635351,是
7,松山機場站出口3,3,121.5518415,25.0631707,是
8,中山國中站出口,0,121.544031,25.060889,是
9,忠孝復興站出口1,1,121.543143,25.041797,否
10,忠孝復興站出口2,2,121.5434792,25.041458,是
11,忠孝復興站出口3,3,121.544806,25.041467,否
12,忠孝復興站出口4,4,121.54506,25.041772,否
13,忠孝復興站出口5,5,121.543985,25.04202,否
14,大安站出口1,1,121.541949,25.033508,否
15,大安站出口2,2,121.541826,25.033515,否
16,大安站出口3,3,121.54233,25.033241,是
17,大安站出口4,4,121.543802,25.0336302,是
18,大安站出口5,5,121.543719,25.032862,否
19,大安站出口6,6,121.543749,25.034006,否
20,科技大樓站出口,0,121.543636,25.026154,是
21,六張犁站出口,0,121.552737,25.023852,是
22,麟光站出口,0,121.558606,25.018554,是
23,辛亥站出口,0,121.557021,25.005119,是
24,萬芳醫院站出口,0,121.557737,24.999383,是
25,萬芳社區站出口,0,121.5684518,24.9986402,是
26,木柵站出口,0,121.573417,24.998174,是
27,動物園站出口1,1,121.579942,24.9982988,是
28,動物園站出口2,2,121.579321,24.997971,是
29,大直站出口1,1,121.547104,25.080118,是
30,大直站出口2,2,121.546823,25.079584,否
31,大直站出口3,3,121.546901,25.07931,是
32,劍南路站出口1,1,121.555226,25.085174,是
33,劍南路站出口2,2,121.555097,25.084754,是
34,劍南路站出口3,3,121.556098,25.084484,否
35,西湖站出口1,1,121.566647,25.082339,是
36,西湖站出口2,2,121.567141,25.082023,是
37,港墘站出口1,1,121.57556,25.080152,是
38,港墘站出口2,2,121.574704,25.080065,是
39,文德站出口1,1,121.58564,25.078671,是
40,文德站出口2,2,121.58447,25.078408,是
41,內湖站出口1,1,121.594266,25.083745,是
42,內湖站出口2,2,121.594612,25.083636,是
43,大湖公園站出口1,1,121.602377,25.083894,是
44,大湖公園站出口2,2,121.60221,25.083675,是
45,葫洲站出口1,1,121.6080683,25.0725096,是
46,葫洲站出口2,2,121.607197,25.072534,是
47,東湖站出口1,1,121.6108991,25.067189,是
48,東湖站出口2,2,121.611239,25.067111,是
49,東湖站出口3,3,121.611724,25.067053,是
50,南港軟體園區站出口1,1,121.615817,25.059995,是
51,南港軟體園區站出口2,2,121.616091,25.059883,是
52,南港展覽館站出口1,1,121.616936,25.055847,是
53,南港展覽館站出口2,2,121.616984,25.055308,否
54,南港展覽館站出口3,3,121.618239,25.055123,否
55,南港展覽館站出口4,4,121.6182634,25.055356,否
56,南港展覽館站出口2A,2A,121.617043,25.05524,是
57,南港展覽館站出口5,5,121.616861,25.054917,是
58,南港展覽館站出口6,6,121.618183,25.054739,否
59,南港展覽館站出口7,7,121.618148,25.054035,否
60,小碧潭站出口1,1,121.530311,24.971684,是
61,小碧潭站出口2,2,121.52995,24.973192,是
62,新店站出口,0,121.5378464,24.9580886,是
63,新店區公所站出口1,1,121.541124,24.967393,是
64,新店區公所站出口2,2,121.541845,24.967986,否
65,七張站出口1,1,121.543068,24.975025,是
66,七張站出口2,2,121.542641,24.97691,否
67,大坪林站出口1,1,121.540874,24.982754,否
68,大坪林站出口2,2,121.541619,24.982051,否
69,大坪林站出口3,3,121.541572,24.982982,是
70,大坪林站出口4,4,121.541405,24.983539,否
71,大坪林站出口5,5,121.543209,24.982859,是
72,景美站出口1,1,121.540976,24.993165,是
73,景美站出口2,2,121.541517,24.993069,否
74,景美站出口3,3,121.540546,24.992744,否
75,萬隆站出口1,1,121.538896,25.001367,否
76,萬隆站出口2,2,121.5395617,25.0015087,否
77,萬隆站出口3,3,121.539195,25.002215,否
78,萬隆站出口4,4,121.538572,25.002676,是
79,公館站出口1,1,121.534377,25.014509,是
80,公館站出口2,2,121.534721,25.014718,是
81,公館站出口3,3,121.534025,25.015421,否
82,公館站出口4,4,121.533623,25.015148,否
83,台電大樓站出口1,1,121.528577,25.01962,否
84,台電大樓站出口2,2,121.529093,25.020192,否
85,台電大樓站出口3,3,121.527849,25.021179,否
86,台電大樓站出口4,4,121.527297,25.021018,否
87,台電大樓站出口5,5,121.527739,25.020758,是
88,古亭站出口1,1,121.522973,25.025976,是
89,古亭站出口2,2,121.523353,25.025502,否
90,古亭站出口3,3,121.523353,25.026078,否
91,古亭站出口4,4,121.523069,25.026424,否
92,古亭站出口5,5,121.522873,25.027184,否
93,古亭站出口6,6,121.522297,25.027537,否
94,古亭站出口7,7,121.521937,25.02742,否
95,古亭站出口8,8,121.521894,25.027056,否
96,古亭站出口9,9,121.522404,25.026798,否
97,中正紀念堂站出口1,1,121.517764,25.033034,是
98,中正紀念堂站出口2,2,121.518261,25.032406,否
99,中正紀念堂站出口3,3,121.519,25.032281,否
100,中正紀念堂站出口4,4,121.51796,25.033525,否
101,中正紀念堂站出口5,5,121.5170711,25.0352207,是
102,中正紀念堂站出口6,6,121.516543,25.03588,否
103,中正紀念堂站出口7,7,121.515983,25.034565,否
104,小南門站出口1,1,121.509752,25.036434,否
105,小南門站出口2,2,121.509865,25.035736,否
106,小南門站出口3,3,121.510988,25.035309,是
107,小南門站出口4,4,121.511455,25.035226,否
108,頂溪站出口1,1,121.515414,25.012895,是
109,頂溪站出口2,2,121.515446,25.014222,否
110,永安市場站出口,0,121.510962,25.002375,是
111,景安站出口,0,121.504632,24.993731,是
112,南勢角站出口1,1,121.508639,24.990016,否
113,南勢角站出口2,2,121.508853,24.989919,否
114,南勢角站出口3,3,121.509395,24.989651,是
115,南勢角站出口4,4,121.509776,24.989486,否
116,台大醫院站出口1,1,121.515731,25.040913,是
117,台大醫院站出口2,2,121.516589,25.041224,是
118,台大醫院站出口3,3,121.516632,25.042808,是
119,台大醫院站出口4,4,121.516299,25.042876,否
120,台北車站M5,M5,121.516246,25.046755,否
121,台北車站M6,M6,121.516787,25.046234,否
122,台北車站M7,M7,121.518643,25.046077,否
123,台北車站M8,M8,121.517479,25.045948,否
124,台北車站M1,M1,121.518193,25.048232,否
125,台北車站M2,M2,121.51908,25.048159,是
126,台北車站M3,M3,121.517882,25.046337,否
127,台北車站M4,M4,121.517345,25.046485,是
128,雙連站出口1,1,121.520588,25.057499,否
129,雙連站出口2,2,121.520615,25.057825,是
130,民權西路站出口1,1,121.519454,25.062641,是
131,民權西路站出口4,4,121.519867,25.061936,否
132,民權西路站出口3,3,121.519888,25.061991,否
133,民權西路站出口2,2,121.51963,25.061846,否
134,民權西路站出口5,5,121.518558,25.063122,否
135,民權西路站出口6,6,121.51853,25.062693,否
136,民權西路站出口7,7,121.520092,25.06267,否
137,民權西路站出口8,8,121.520602,25.06266,否
138,民權西路站出口9,9,121.520744,25.063027,否
139,民權西路站出口10,10,121.519791,25.063063,是
140,圓山站出口1,1,121.520033,25.070785,是
141,圓山站出口2,2,121.520108,25.071776,是
142,劍潭站出口1,1,121.525175,25.08503,是
143,劍潭站出口2,2,121.524751,25.083273,是
144,劍潭站出口3,3,121.52496,25.084284,是
145,士林站出口1,1,121.525966,25.094106,是
146,士林站出口2,2,121.5265426,25.0929136,是
147,芝山站出口1,1,121.522636,25.102046,是
148,芝山站出口2,2,121.5222417,25.1038008,是
149,明德站出口1,1,121.519153,25.109298,是
150,明德站出口2,2,121.518728,25.110008,是
151,明德站出口3,3,121.5184454,25.1099478,是
152,石牌站出口1,1,121.5152545,25.1149633,是
153,石牌站出口2,2,121.51625,25.11352,是
154,唭哩岸站出口1,1,121.5061917,25.1208432,是
155,唭哩岸站出口2,2,121.50589,25.120854,是
156,奇岩站出口,0,121.50096,25.126169,是
157,北投站出口1,1,121.498457,25.132464,是
158,北投站出口2,2,121.499194,25.131025,是
159,新北投站出口1,1,121.503524,25.136968,是
160,新北投站出口2,2,121.502455,25.136834,否
161,復興崗站出口2,2,25.137345,121.485202,是
162,復興崗站出口1,1,121.485373,25.137665,是
163,忠義站出口1,1,121.473169,25.131056,是
164,忠義站出口2,2,121.4736461,25.1309851,是
165,關渡站出口1,1,121.467215,25.125431,是
166,關渡站出口2,2,121.466861,25.12547,是
167,竹圍站出口1,1,121.45959,25.1371,是
168,竹圍站出口2,2,121.459383,25.136854,是
169,紅樹林站出口1,1,121.459039,25.154137,是
170,紅樹林站出口2,2,121.458733,25.154597,否
171,淡水站出口1,1,121.445502,25.168266,是
172,淡水站出口2,2,121.445812,25.168008,是
173,淡水站出口3,3,121.445573,25.167601,否
174,永寧站出口1,1,121.435254,24.966714,是
175,永寧站出口2,2,121.435795,24.966019,是
176,永寧站出口3,3,121.437111,24.967252,否
177,永寧站出口4,4,121.436412,24.967191,否
178,土城站出口1,1,121.444173,24.973251,是
179,土城站出口2,2,121.443671,24.972663,否
180,土城站出口3,3,121.445266,24.973714,否
181,海山站出口1,1,121.4486097,24.9853885,否
182,海山站出口2,2,121.4488709,24.9853326,是
183,海山站出口3,3,121.449127,24.98609,否
184,亞東醫院站出口1,1,121.452581,24.998933,否
185,亞東醫院站出口2,2,121.452388,24.998252,否
186,亞東醫院站出口3,3,121.45287,24.998875,是
187,府中站出口1,1,121.459077,25.008486,是
188,府中站出口2,2,121.459501,25.008943,否
189,府中站出口3,3,121.45897,25.009162,否
190,板橋站出口1,1,121.461838,25.0133143,否
191,板橋站出口2,2,121.4626517,25.0133295,否
192,板橋站出口3,3,121.4626534,25.0144418,是
193,新埔站出口1,1,121.467457,25.023063,否
194,新埔站出口2,2,121.468176,25.0222,否
195,新埔站出口3,3,121.468574,25.022844,否
196,新埔站出口4,4,121.468728,25.023638,是
197,新埔站出口5,5,121.468138,25.024163,是
198,江子翠站出口1,1,121.471914,25.030298,否
199,江子翠站出口2,2,121.471903,25.029782,否
200,江子翠站出口3,3,121.472156,25.029459,是
201,江子翠站出口4,4,121.472719,25.029763,否
202,江子翠站出口5,5,121.473609,25.031027,否
203,江子翠站出口6,6,121.473126,25.031095,否
204,龍山寺站出口1,1,121.49953,25.035484,是
205,龍山寺站出口2,2,121.499798,25.035109,否
206,龍山寺站出口3,3,121.501622,25.035421,否
207,善導寺站出口1,1,121.523009,25.045097,否
208,善導寺站出口2,2,121.523053,25.044796,否
209,善導寺站出口3,3,121.523734,25.044568,是
210,善導寺站出口4,4,121.524217,25.044111,否
211,善導寺站出口5,5,121.52482,25.044256,否
212,善導寺站出口6,6,121.524898,25.044632,否
213,忠孝新生站出口2,2,121.532065,25.042103,是
214,忠孝新生站出口3,3,121.53368,25.041783,是
215,忠孝新生站出口4,4,121.533213,25.042458,否
216,忠孝新生站出口1,1,121.531829,25.042784,否
217,忠孝新生站出口5,5,121.532232,25.041214,否
218,忠孝新生站出口6,6,121.533068,25.040791,否
219,忠孝新生站出口7,7,121.533068,25.041729,否
220,忠孝敦化站出口1,1,121.550578,25.041642,否
221,忠孝敦化站出口2,2,121.551694,25.041632,是
222,忠孝敦化站出口3,3,121.551586,25.04134,否
223,忠孝敦化站出口4,4,121.550567,25.04135,否
224,忠孝敦化站出口5,5,121.549824,25.041238,否
225,忠孝敦化站出口6,6,121.549174,25.041029,否
226,忠孝敦化站出口7,7,121.549913,25.041661,否
227,忠孝敦化站出口8,8,121.549194,25.041928,否
228,國父紀念館站出口1,1,121.556663,25.041838,否
229,國父紀念館站出口2,2,121.556704,25.041029,否
230,國父紀念館站出口3,3,121.557981,25.041195,否
231,國父紀念館站出口4,4,121.558539,25.04117,是
232,國父紀念館站出口5,5,121.558002,25.041501,否
233,市政府站出口1,1,121.565459,25.041408,否
234,市政府站出口2,2,121.565062,25.040971,是
235,市政府站出口3,3,121.567149,25.040903,否
236,市政府站出口4,4,121.567181,25.041263,否
237,永春站出口1,1,121.57512,25.040995,否
238,永春站出口2,2,121.575383,25.040704,否
239,永春站出口3,3,121.576155,25.040704,否
240,永春站出口4,4,121.576574,25.040699,否
241,永春站出口5,5,121.576622,25.040961,是
242,後山埤站出口1,1,121.58141,25.044422,否
243,後山埤站出口2,2,121.581854,25.043703,否
244,後山埤站出口3,3,121.583277,25.045232,是
245,後山埤站出口4,4,121.582441,25.045653,否
246,昆陽站出口1,1,121.592726,25.050319,否
247,昆陽站出口2,2,121.592825,25.050402,否
248,昆陽站出口3,3,121.59363,25.050599,否
249,昆陽站出口4,4,121.593799,25.050572,是
250,南港站出口1,1,121.606357,25.051911,否
251,南港站出口2,2,121.60743,25.052025,是
252,象山站出口1,1,121.569394,25.033025,是
253,象山站出口2,2,121.5697238,25.0329805,是
254,象山站出口3,3,121.570408,25.03302,否
255,台北101/世貿站出口1,1,121.561671,25.033107,否
256,台北101/世貿站出口2,2,121.562324,25.0332591,否
257,台北101/世貿站出口3,3,121.563646,25.032742,是
258,台北101/世貿站出口4,4,121.564112,25.033034,是
259,台北101/世貿站出口5,5,121.563292,25.033102,是
260,信義安和站出口1,1,121.552602,25.033377,否
261,信義安和站出口2,2,121.552332,25.033032,否
262,信義安和站出口2A,2A,121.552582,25.032848,是
263,信義安和站出口3,3,121.553282,25.033022,否
264,信義安和站出口4,4,121.5534,25.033022,否
265,信義安和站出口5,5,121.553526,25.033326,是
266,大安森林公園站出口1,1,121.534442,25.033693,否
267,大安森林公園站出口2,2,121.534487,25.033391,否
268,大安森林公園站出口3,3,121.534882,25.033396,否
269,大安森林公園站出口4,4,121.535292,25.033391,是
270,大安森林公園站出口5,5,121.535989,25.033369,是
271,大安森林公園站出口6,6,121.535952,25.033654,是
272,輔大站出口1,1,121.435264,25.032932,是
273,輔大站出口2,2,121.435277,25.032315,是
274,輔大站出口3,3,121.436541,25.032776,否
275,輔大站出口4,4,121.436534,25.0330162,否
276,新莊站出口1,1,121.452168,25.03615,是
277,新莊站出口2,2,121.4525,25.036014,是
278,頭前庄站出口1,1,121.460303,25.039844,是
279,頭前庄站出口2,2,121.460931,25.039068,否
280,頭前庄站出口3,3,121.462247,25.039853,否
281,頭前庄站出口4,4,121.462344,25.04022,否
282,先嗇宮站出口1,1,121.471319,25.046497,是
283,先嗇宮站出口2,2,121.471372,25.046094,否
284,先嗇宮站出口3,3,121.471801,25.046239,否
285,三重站出口1,1,121.4647333,25.0913266,是
286,三重站出口2,2,121.4642624,25.0918704,否
287,三重站出口3,3,121.485282,25.056134,否
288,菜寮站出口1,1,121.490673,25.05971,否
289,菜寮站出口2,2,121.491106,25.059287,是
290,菜寮站出口3,3,121.492111,25.060556,否
291,台北橋站出口,0,121.500281,25.062966,是
292,大橋頭站出口1,1,121.512319,25.06318,是
293,大橋頭站出口1A,1A,121.511837,25.063075,否
294,大橋頭站出口2,2,121.513258,25.063195,否
295,大橋頭站出口3,3,121.51344,25.063739,否
296,中山國小站出口1,1,121.526095,25.06284,否
297,中山國小站出口2,2,121.526148,25.062461,否
298,中山國小站出口3,3,121.527114,25.062476,否
299,中山國小站出口4,4,121.526835,25.062835,是
300,行天宮站出口1,1,121.533004,25.058316,否
301,行天宮站出口2,2,121.533342,25.058792,是
302,行天宮站出口3,3,121.533393,25.059868,否
303,行天宮站出口4,4,121.532991,25.060365,否
304,東門站出口1,1,121.527994,25.034157,否
305,東門站出口2,2,121.527565,25.03422,否
306,東門站出口3,3,121.527854,25.033676,否
307,東門站出口4,4,121.528879,25.033646,否
308,東門站出口5,5,121.529506,25.033564,否
309,東門站出口6,6,121.529957,25.033924,否
310,東門站出口7,7,121.529678,25.033962,否
311,東門站出口8,8,121.528965,25.034074,是
312,蘆洲站出口1,1,121.4647333,25.0913266,否
313,蘆洲站出口2,2,121.4648924,25.0917076,是
314,蘆洲站出口3,3,121.4642624,25.0918704,否
315,三民高中站出口1,1,121.472542,25.085494,是
316,三民高中站出口2,2,121.473739,25.085791,否
317,徐匯中學站出口1,1,121.47988,25.080303,否
318,徐匯中學站出口2,2,121.480583,25.080332,是
319,三和國中站出口1,1,121.486398,25.076586,是
320,三和國中站出口2,2,121.486462,25.0767991,否
321,三重國小站出口,0,121.496656,25.070536,是
322,迴龍站出口1,1,121.4113464,25.0217259,是
323,迴龍站出口2,2,121.41077,25.02118,否
324,迴龍站出口3,3,121.4125638,25.0225398,否
325,丹鳳站出口1,1,121.4221819,25.0289618,否
326,丹鳳站出口2,2,121.422615,25.028742,是
327,南京復興站出口1,1,121.542121,25.052625,是
328,南京復興站出口2,2,121.541863,25.051748,是
329,南京復興站出口3,3,121.543237,25.051719,否
330,南京復興站出口4,4,121.543237,25.051719,否
331,南京復興站出口5,5,121.544338,25.051727,否
332,南京復興站出口6,6,121.544908,25.052057,否
333,南京復興站出口8,8,121.543819,25.052018,否
334,南京復興站出口7,7,121.5445925,25.0524873,是
335,中山站出口1,1,121.520303,25.052414,否
336,中山站出口4,4,121.520306,25.052858,是
337,中山站出口2,2,121.521063,25.052382,否
338,中山站出口3,3,121.521154,25.052611,否
339,中山站出口5,5,121.519329,25.053037,是
340,中山站出口6,6,121.519007,25.052833,是
341,西門站出口1,1,121.507566,25.042137,否
342,西門站出口2,2,121.508435,25.041545,否
343,西門站出口3,3,121.508888,25.041789,否
344,西門站出口4,4,121.509006,25.042203,是
345,西門站出口5,5,121.508789,25.042935,否
346,西門站出口6,6,121.507602,25.042573,是
347,松江南京站出口1,1,121.532388,25.051842,是
348,松江南京站出口2,2,121.532875,25.051342,是
349,松江南京站出口3,3,121.53287,25.051085,否
350,松江南京站出口4,4,121.53324,25.051624,否
351,松江南京站出口5,5,121.534081,25.051882,否
352,松江南京站出口6,6,121.533727,25.052095,否
353,松江南京站出口7,7,121.533195,25.05247,否
354,松江南京站出口8,8,121.532826,25.05257,是
355,北門站出口1,1,121.510212,25.048747,否
356,北門站出口2,2,121.510506,25.049583,是
357,北門站出口3,3,121.510227,25.049943,是
358,台北小巨蛋站出口1,1,121.55153,25.051836,是
359,台北小巨蛋站出口2,2,121.550715,25.051571,是
360,台北小巨蛋站出口3,3,121.552549,25.05152,是
361,台北小巨蛋站出口4,4,121.552898,25.051534,否
362,台北小巨蛋站出口5,5,121.552069,25.051838,否
363,南京三民站出口1,1,121.563643,25.051517,是
364,南京三民站出口2,2,121.563073,25.051215,是
365,南京三民站出口3,3,121.564595,25.051328,否
366,南京三民站出口4,4,121.56471,25.051588,否
367,松山站出口1,1,121.577022,25.050171,否
368,松山站出口2,2,121.576244,25.050171,否
369,松山站出口3,3,121.577533,25.049939,是
370,松山站出口4,4,121.577971,25.049799,否
371,松山站出口5,5,121.577782,25.050559,是
372,十四張站出口,0,121.527701,24.984467,是
373,秀朗橋站出口1,1,121.52574,24.990418,否
374,秀朗橋站出口2,2,121.5250505,24.9905493,是
375,景平站出口,0,121.5165532,24.9919681,是
376,中和站出口,0,121.4964906,25.00221178,是
377,橋和站出口,0,121.4904608,25.0044131,是
378,中原站出口,0,121.4841593,25.0084104,是
379,板新站出口,0,121.4722124,25.0144914,是
380,板橋站出口4,4,121.464938,25.015105,是
381,板橋站出口5,5,121.464312,25.015502,是
382,新埔民生站出口,0,121.466839,25.026125,是
383,幸福站出口1,1,121.460146,25.050126,是
384,幸福站出口2,2,121.460593,25.049545,否
385,新北產業園區站出口,0,121.4599257,25.0615483,是
